Sl. No.,Location Type,Location Name,Latitude,Longitude,Station ID,,,,
58,Nala_Sensor,"Mandi Road, Mahuesugharpur",26.73148477,83.36310874,GUFEW079,,,,
59,Nala_Sensor,"Narmal Taxi Stand, Raiganj",26.74080944,83.36009261,GUFEW013,,,,
60,Nala_Sensor,Nautanwa Road,26.80404307,83.35274073,GUFEW028,,,,
,Nala_Sensor,Netaji SC Bose Colony / 1,26.77423362,83.34575452,,,,,
61,Nala_Sensor,Nizampur,26.75506576,83.34851455,GUFEW027,,,,
62,Nala_Sensor,"Padri Bazar, Bank Colony",26.77996334,83.40343179,GUFEW031,,,,
63,Nala_Sensor,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,GUFEW066,,,,
64,Nala_Sensor,"Park Road, Bilandpur",26.75464293,83.37219251,GUFEW039,,,,
66,Nala_Sensor,"Patel Chowk, Shakti Nagar Colony",26.72829493,83.37096216,GUFEW022,,,,
67,Nala_Sensor,"Police Chowki, Asuran",26.76713161,83.37793253,GUFEW081,,,,
68,Nala_Sensor,"Polytechnic Chauraha, Sonauli Road",26.78150863,83.35731478,,,,,
69,Nala_Sensor,Qazipur Khurd Nala,26.74785874,83.36007969,GUFEW004,,,,
70,Nala_Sensor,"Rajbi Road, Avas Vikas Colony",26.7560839,83.36222477,GUFEW032,,,,
72,Nala_Sensor,"Rama Tower, Betiahata",26.73700344,83.37363941,GUFEW033,,,,
73,Nala_Sensor,Ramjankinagar Road,26.78995829,83.37396513,GUFEW011,,,,
74,Nala_Sensor,"Rasoolpur Nala, Gorakhnath",26.77087222,83.35402149,GUFEW037,,,,
75,Nala_Sensor,Samaymata Mandir Road,26.73773333,83.35863022,GUFEW018,,,,
76,Nala_Sensor,SC Bose Nagar Colony 2,26.76812321,83.35269855,GUFEW019,,,,
77,Nala_Sensor,Shatabdipuram,26.803135,83.381884,GUFEW073,,,,
78,Nala_Sensor,Shivpuri Colony,26.73248635,83.36641907,GUFEW014,,,,
79,Nala_Sensor,Surajkund Colony / CA77,26.7660616,83.3434012,GUFEW034,,,,
81,Nala_Sensor,Taramandal,26.73835864,83.38702733,GUFEW012,,,,
82,Nala_Sensor,TP Nagar 2,26.73469036,83.36359777,,,,,
83,Nala_Sensor,Vijay Cinema Road,26.75757765,83.36494629,GUFEW077,,,,
84,Pumping Station,Ashoknagar Pumping Station,26.77643834,83.37960687,GUFEW140,,,,
85,Pumping Station,Bahrampur Pumping Station,26.75571733,83.34095692,GUFEW133,,,,
86,Pumping Station,Basiyadih (Madopur) Pumping Station,26.76293384,83.33593343,GUFEW125,,,,
87,Pumping Station,"Bhediyagarh / Vishnupuram
Pumping Station",26.77076183,83.38031985,GUFEW129,,,,
88,Pumping Station,Dharmashala Bazar Pumping Station,26.76222177,83.3733532,GUFEW136,,,,
89,Pumping Station,Domingarh Pumping Station,26.75878673,83.33713279,GUFEW122,,,,
90,Pumping Station,Gaderiya / Sree Ram Nagar Pumping Station,26.78012331,83.3794337,GUFEW141,,,,
91,Pumping Station,Ghasiyadi Pumping Station,26.73926354,83.35203502,GUFEW135,,,,
92,Pumping Station,Hansupur Pumping Station,26.73615154,83.35295658,GUFEW128,,,,
93,Pumping Station,Ilahibag Pumping Station,26.75439858,83.34552595,GUFEW121,,,,
94,Pumping Station,Lal Diggi Pumping Station,26.74835341,83.35249059,GUFEW124,,,,
95,Pumping Station,Mahewa Chunggi Pumping Station,26.7359721,83.35967272,GUFEW138,,,,
96,Pumping Station,Mahewa Kataniya Pumping Station,26.72383718,83.36330335,GUFEW139,,,,
97,Pumping Station,Mirzapur Pumping Station,26.75020445,83.34941293,GUFEW123,,,,
98,Pumping Station,Narkatiya / Basantpur Pumping Station,26.74271174,83.35069327,GUFEW134,,,,
99,Pumping Station,Om Nagar Pumping Station,26.78018562,83.37752286,GUFEW127,,,,
100,Pumping Station,Ramnagar Pumping Station,26.78047433,83.36142301,GUFEW132,,,,
101,Pumping Station,Rasulpur Bhatta Pumping Station,26.77505847,83.35039619,GUFEW130,,,,
102,Pumping Station,SC Bose Pumping Station,26.77450737,83.34231176,GUFEW131,,,,
103,Pumping Station,Teen Ghar Phulia Pumping Station,26.76030364,83.36876612,GUFEW126,,,,
104,Pumping Station,Transport Nagar Pumping Station,26.73390408,83.35355662,GUFEW137,,,,
