SensorDataId,Timestamp,PercentageWater,StationId,LocationName,Latitude,Longitude,LocationType
20699,02:58.0,70.28,GUFEW040,Daudpur,26.740212,83.374497,Nala
20698,00:59.0,18.65,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20697,00:59.0,64.9,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20697,00:59.0,64.9,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20696,47:58.0,70.08,GUFEW040,Daudpur,26.740212,83.374497,Nala
20696,47:58.0,70.08,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20695,32:58.0,69.96,GUFEW040,Daudpur,26.740212,83.374497,Nala
20695,32:58.0,69.96,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20694,17:58.0,69.87,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20694,17:58.0,69.87,GUFEW040,Daudpur,26.740212,83.374497,Nala
20693,02:58.0,70.23,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20693,02:58.0,70.23,GUFEW040,Daudpur,26.740212,83.374497,Nala
20692,47:58.0,70.28,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20692,47:58.0,70.28,GUFEW040,Daudpur,26.740212,83.374497,Nala
20691,45:59.0,18.72,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20690,45:59.0,64.52,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20690,45:59.0,64.52,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20689,32:58.0,69.74,GUFEW040,Daudpur,26.740212,83.374497,Nala
20689,32:58.0,69.74,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20688,17:58.0,70.21,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20688,17:58.0,70.21,GUFEW040,Daudpur,26.740212,83.374497,Nala
20687,02:58.0,69.86,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20687,02:58.0,69.86,GUFEW040,Daudpur,26.740212,83.374497,Nala
20686,47:58.0,70.08,GUFEW040,Daudpur,26.740212,83.374497,Nala
20686,47:58.0,70.08,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20685,32:58.0,70.33,GUFEW040,Daudpur,26.740212,83.374497,Nala
20685,32:58.0,70.33,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20684,30:59.0,18.7,GUFEW075,Jhankar Talkies Road / Minara Masjid,26.75407168,83.35889263,Nala
20683,30:59.0,65.08,GUFEW066,"Panchavati Apartment, Daudpur.",26.74205174,83.3736721,Nala
20683,30:59.0,65.08,GUFEW066,"Panchavati Apartment, Daudpur",26.74205174,83.3736721,Nala
20682,17:58.0,70.03,GUFEW040,Daudpur,26.74010821,83.37461506,Nala
20682,17:58.0,70.03,GUFEW040,Daudpur,26.740212,83.374497,Nala
