Id,StationId,LocationId,TimeStamp,MobileNumber,Battery,RainHourly,RainDaily,CreatedDate,IsApproved,0-33-020,0-33-005,0-08-083,DetailedQCFlag
2024,GUFEW112,19,2024-10-28 22:30:00.0000000,,11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2025,GUFEW111,18,2024-10-28 22:30:00.0000000," 9876543210",11.40,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2026,GUFEW111,18,2024-10-28 22:45:00.0000000," 9876543210",11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2027,GUFEW112,19,2024-10-28 22:45:00.0000000,,11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2028,GUFEW112,19,2024-10-28 23:00:00.0000000,,11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2032,GUFEW111,18,2024-10-28 23:00:00.0000000," 9876543210",11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2033,GUFEW111,18,2024-10-28 23:15:00.0000000," 9876543210",11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2029,GUFEW112,19,2024-10-28 23:15:00.0000000,,11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2030,GUFEW112,19,2024-10-28 23:30:00.0000000,,11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2034,GUFEW111,18,2024-10-28 23:30:00.0000000," 9876543210",11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2035,GUFEW111,18,2024-10-28 23:45:00.0000000," 9876543210",11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2031,GUFEW112,19,2024-10-28 23:45:00.0000000,,11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2036,GUFEW111,18,2024-10-29 00:00:00.0000000," 9876543210",11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2037,GUFEW112,19,2024-10-29 00:00:00.0000000,,11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2038,GUFEW112,19,2024-10-29 00:15:00.0000000,,11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2039,GUFEW111,18,2024-10-29 00:15:00.0000000," 9876543210",11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2040,GUFEW111,18,2024-10-29 00:30:00.0000000," 9876543210",11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2041,GUFEW112,19,2024-10-29 00:30:00.0000000,,11.20,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2042,GUFEW112,19,2024-10-29 00:45:00.0000000,,11.20,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2043,GUFEW111,18,2024-10-29 00:45:00.0000000," 9876543210",11.20,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
2044,GUFEW111,18,2024-10-29 01:00:00.0000000," 9876543210",11.30,0.00,0.00,2024-10-29 15:31:29.000,1,0,0,NULL,1
456,GUFEW112,19,2024-10-28 11:45:00.0000000,,12.80,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
457,GUFEW112,19,2024-10-28 12:00:00.0000000,,12.90,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
455,GUFEW111,18,2024-10-28 12:00:00.0000000," 9876543210",12.40,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
458,GUFEW111,18,2024-10-28 12:15:00.0000000," 9876543210",12.40,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
459,GUFEW112,19,2024-10-28 12:15:00.0000000,,13.00,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
460,GUFEW112,19,2024-10-28 12:30:00.0000000,,13.10,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
462,GUFEW111,18,2024-10-28 12:30:00.0000000," 9876543210",12.50,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
463,GUFEW111,18,2024-10-28 12:45:00.0000000," 9876543210",12.50,0.00,0.00,2024-10-29 15:31:28.000,1,0,0,NULL,1
