clientid,latitude,longitude,location,block,district,rain,temp,wind,winddirection,humidity,ldate,CreatedDate,IsApproved,0-33-020,0-33-005,0-08-083,DetailedQCFlag,Id
10220,26.718021,83.43794,BLOCK CAMPUS,KHORABAR,Gorakhpur,0,35.2,0,0,48.5,10/29/2024 14:00,10/29/2024 14:30,1,0,0,NULL,1,54983
20254,26.821049,83.37227,G P MANBELA,CHARGAMA,Gorakhpur,0,34.2,0,266,54.1,10/29/2024 14:00,10/29/2024 14:30,1,0,0,NULL,1,54988
10284,26.678059,83.338646,P M V PITHORA,PIPRAULI,Gorakhpur,0,34.7,0,0,45.7,10/29/2024 14:00,10/29/2024 14:30,1,0,0,NULL,1,54990
10226,26.770552,83.278915,PANCHAYAT GOVINDPUR,TIKRIYA,Gorakhpur,0,33.6,0,0,57.4,10/29/2024 11:45,10/29/2024 14:30,1,0,0,NULL,1,54993
10275,26.748125,83.2443,P KALESHR,PIPRAULI,Gorakhpur,0,36,0,0,48.2,10/29/2024 14:00,10/29/2024 14:30,1,0,0,NULL,1,54997
10288,26.81268,83.4905,P PATRA,BHATHAT,Gorakhpur,0,34,0,0,53.6,10/29/2024 14:00,10/29/2024 14:30,1,0,0,NULL,1,54999
20259,26.747665,83.369354,TEHSIL CAMPUS,SDADR,Gorakhpur,0,33.7,0,248,53.2,10/29/2024 14:30,10/29/2024 14:57,1,0,0,NULL,1,55924
10220,26.718021,83.43794,BLOCK CAMPUS,KHORABAR,Gorakhpur,0,34.2,0,0,49.1,10/29/2024 14:30,10/29/2024 14:57,1,0,0,NULL,1,55926
20254,26.821049,83.37227,G P MANBELA,CHARGAMA,Gorakhpur,0,34.4,1,261,54.1,10/29/2024 14:30,10/29/2024 14:57,1,0,0,NULL,1,55931
10284,26.678059,83.338646,P M V PITHORA,PIPRAULI,Gorakhpur,0,34.7,0,0,48,10/29/2024 14:30,10/29/2024 14:57,1,0,0,NULL,1,55932
10275,26.748125,83.2443,P KALESHR,PIPRAULI,Gorakhpur,0,36.2,0,0,48.1,10/29/2024 14:30,10/29/2024 14:57,1,0,0,NULL,1,55937
10288,26.81268,83.4905,P PATRA,BHATHAT,Gorakhpur,0,33.8,0,0,53.7,10/29/2024 14:30,10/29/2024 14:57,1,0,0,NULL,1,55941
10217,26.801445,83.39245,BLOCK CAMPUS,CHARGAWAN,Gorakhpur,0,32.4,0,0,57.4,10/29/2024 14:30,10/29/2024 14:57,1,0,0,NULL,1,55949
